Run	Real_ratio	Bp	Feature	Breakpoint_region_bp	Non_breakpoint_region_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Shuffled_ratio	Above	Same	Below
0	1.9523	100	DNA_replication_origin	4400	30355071	300	6.82	1060090	3.49	1.9523	0	0	0	
0	1.9526	200	DNA_replication_origin	8800	30350671	600	6.82	1059790	3.49	1.9526	0	0	0	
0	1.9529	300	DNA_replication_origin	13200	30346271	900	6.82	1059490	3.49	1.9529	0	0	0	
0	1.9532	400	DNA_replication_origin	17600	30341871	1200	6.82	1059190	3.49	1.9532	0	0	0	
0	1.8882	500	DNA_replication_origin	22000	30337471	1450	6.59	1058940	3.49	1.8882	0	0	0	
0	1.8479	600	DNA_replication_origin	26358	30333113	1700	6.45	1058690	3.49	1.8479	0	0	0	
0	1.8280	700	DNA_replication_origin	30566	30328905	1950	6.38	1058440	3.49	1.8280	0	0	0	
0	1.8559	800	DNA_replication_origin	34666	30324805	2245	6.48	1058145	3.49	1.8559	0	0	0	
0	1.8817	900	DNA_replication_origin	38766	30320705	2545	6.57	1057845	3.49	1.8817	0	0	0	
0	1.9026	1000	DNA_replication_origin	42866	30316605	2845	6.64	1057545	3.49	1.9026	0	0	0	
0	1.9199	1100	DNA_replication_origin	46966	30312505	3145	6.70	1057245	3.49	1.9199	0	0	0	
0	1.9345	1200	DNA_replication_origin	51066	30308405	3445	6.75	1056945	3.49	1.9345	0	0	0	
0	1.9470	1300	DNA_replication_origin	55166	30304305	3745	6.79	1056645	3.49	1.9470	0	0	0	
0	1.9577	1400	DNA_replication_origin	59266	30300205	4045	6.83	1056345	3.49	1.9577	0	0	0	
0	1.9672	1500	DNA_replication_origin	63366	30296105	4345	6.86	1056045	3.49	1.9672	0	0	0	
0	1.9755	1600	DNA_replication_origin	67466	30292005	4645	6.88	1055745	3.49	1.9755	0	0	0	
0	1.9829	1700	DNA_replication_origin	71566	30287905	4945	6.91	1055445	3.48	1.9829	0	0	0	
0	1.9906	1800	DNA_replication_origin	75624	30283847	5245	6.94	1055145	3.48	1.9906	0	0	0	
0	2.0299	1900	DNA_replication_origin	79624	30279847	5630	7.07	1054760	3.48	2.0299	0	0	0	
0	2.0706	2000	DNA_replication_origin	83624	30275847	6030	7.21	1054360	3.48	2.0706	0	0	0	
0	2.1077	2100	DNA_replication_origin	87624	30271847	6430	7.34	1053960	3.48	2.1077	0	0	0	
0	2.1416	2200	DNA_replication_origin	91624	30267847	6830	7.45	1053560	3.48	2.1416	0	0	0	
0	2.1727	2300	DNA_replication_origin	95624	30263847	7230	7.56	1053160	3.48	2.1727	0	0	0	
0	2.2014	2400	DNA_replication_origin	99624	30259847	7630	7.66	1052760	3.48	2.2014	0	0	0	
0	2.2279	2500	DNA_replication_origin	103624	30255847	8030	7.75	1052360	3.48	2.2279	0	0	0	
0	2.2442	2600	DNA_replication_origin	107624	30251847	8399	7.80	1051991	3.48	2.2442	0	0	0	
