Run	Real_ratio	Bp	Feature	Breakpoint_region_bp	Non_breakpoint_region_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Shuffled_ratio	Above	Same	Below
0	0.1978	5000	DNA_replication_origin	207689	30192563	1441	0.69	1058949	3.51	0.1978	0	0	0	
0	1.2346	5000	DNAseI_hypersensitive_site	207689	30192563	33539	16.15	3949263	13.08	1.2346	0	0	0	
0	1.2024	5000	gene	207689	30192563	131455	63.29	15893002	52.64	1.2024	0	0	0	
0	1.2126	5000	open_chromatin_state_1	207689	30192563	28576	13.76	3425924	11.35	1.2126	0	0	0	
0	1.2523	5000	open_chromatin_state_2	207689	30192563	26482	12.75	3074168	10.18	1.2523	0	0	0	
0	1.4188	5000	open_chromatin_state_3	207689	30192563	30184	14.53	3092666	10.24	1.4188	0	0	0	
0	1.0118	5000	open_chromatin_state_4	207689	30192563	33028	15.90	4745372	15.72	1.0118	0	0	0	
0	0.6567	5000	open_chromatin_state_5	207689	30192563	19887	9.58	4402563	14.58	0.6567	0	0	0	
0	1.4857	5000	open_chromatin_state_6	207689	30192563	33503	16.13	3278267	10.86	1.4857	0	0	0	
0	1.0393	5000	open_chromatin_state_7	207689	30192563	22222	10.70	3108278	10.29	1.0393	0	0	0	
0	0.8410	5000	open_chromatin_state_8	207689	30192563	13807	6.65	2386643	7.90	0.8410	0	0	0	
0	0.0000	5000	open_chromatin_state_9	207689	30192563	0	0.00	2677200	8.87	0.0000	0	0	0	
0	0.9460	5000	pseudogene	207689	30192563	1458	0.70	224045	0.74	0.9460	0	0	0	
0	0.6782	5000	satellite	207689	30192563	8848	4.26	1896731	6.28	0.6782	0	0	0	
0	0.4565	5000	transposable_element	207689	30192563	15877	7.64	5056453	16.75	0.4565	0	0	0	
1	0.1978	5000	DNA_replication_origin	220000	30180252	3052	1.39	1057338	3.50	0.3960	1	0	0	*****
1	1.2346	5000	DNAseI_hypersensitive_site	220000	30180252	26136	11.88	3956666	13.11	0.9062	0	0	1	*****
1	1.2024	5000	gene	220000	30180252	114479	52.04	15909978	52.72	0.9871	0	0	1	*****
1	1.2126	5000	open_chromatin_state_1	220000	30180252	22589	10.27	3431911	11.37	0.9029	0	0	1	*****
