Run	Real_ratio	Bp	Feature	Breakpoint_region_bp	Non_breakpoint_region_bp	Feature_bp_inside	%Inside	Feature_bp_outside	%Outside	Shuffled_ratio	Above	Same	Below
0	1.0529	1000	CDS	30000	30329471	9235	30.78	8867099	29.24	1.0529	0	0	0	
0	0.9543	1000	DNA_replication_origin	30000	30329471	1000	3.33	1059390	3.49	0.9543	0	0	0	
0	1.4364	1000	DNAseI_hypersensitive_site	30000	30329471	5643	18.81	3971683	13.10	1.4364	0	0	0	
0	1.0002	1000	exon	30000	30329471	12458	41.53	12592425	41.52	1.0002	0	0	0	
0	1.7759	1000	five_prime_UTR	30000	30329471	1489	4.96	847638	2.79	1.7759	0	0	0	
0	1.0242	1000	gene	30000	30329471	16197	53.99	15987572	52.71	1.0242	0	0	0	
0	0.9807	1000	mRNA	30000	30329471	17035	56.78	17561390	57.90	0.9807	0	0	0	
0	0.0000	1000	miRNA	30000	30329471	0	0.00	9336	0.03	0.0000	0	0	0	
0	0.0000	1000	ncRNA	30000	30329471	0	0.00	183696	0.61	0.0000	0	0	0	
0	1.2696	1000	open_chromatin_state_1	30000	30329471	4324	14.41	3443276	11.35	1.2696	0	0	0	
0	1.6674	1000	open_chromatin_state_2	30000	30329471	5095	16.98	3089219	10.19	1.6674	0	0	0	
0	0.8545	1000	open_chromatin_state_3	30000	30329471	2635	8.78	3117515	10.28	0.8545	0	0	0	
0	0.7135	1000	open_chromatin_state_4	30000	30329471	3361	11.20	4762589	15.70	0.7135	0	0	0	
0	1.7146	1000	open_chromatin_state_5	30000	30329471	7481	24.94	4410919	14.54	1.7146	0	0	0	
0	0.4890	1000	open_chromatin_state_6	30000	30329471	1599	5.33	3305751	10.90	0.4890	0	0	0	
0	0.8223	1000	open_chromatin_state_7	30000	30329471	2542	8.47	3125408	10.30	0.8223	0	0	0	
0	0.6663	1000	open_chromatin_state_8	30000	30329471	1581	5.27	2398869	7.91	0.6663	0	0	0	
0	0.5221	1000	open_chromatin_state_9	30000	30329471	1382	4.61	2675818	8.82	0.5221	0	0	0	
0	1.0012	1000	protein	30000	30329471	13455	44.85	13586324	44.80	1.0012	0	0	0	
0	0.0000	1000	pseudogene	30000	30329471	0	0.00	225503	0.74	0.0000	0	0	0	
0	0.0000	1000	pseudogenic_exon	30000	30329471	0	0.00	207487	0.68	0.0000	0	0	0	
0	0.0000	1000	pseudogenic_transcript	30000	30329471	0	0.00	225503	0.74	0.0000	0	0	0	
0	0.6445	1000	satellite	30000	30329471	1213	4.04	1902709	6.27	0.6445	0	0	0	
0	0.0000	1000	snRNA	30000	30329471	0	0.00	337	0.00	0.0000	0	0	0	
0	0.0000	1000	snoRNA	30000	30329471	0	0.00	2174	0.01	0.0000	0	0	0	
0	0.0000	1000	tRNA	30000	30329471	0	0.00	15340	0.05	0.0000	0	0	0	
0	1.0760	1000	three_prime_UTR	30000	30329471	1401	4.67	1316343	4.34	1.0760	0	0	0	
0	0.4224	1000	transposable_element	30000	30329471	2118	7.06	5069127	16.71	0.4224	0	0	0	
0	0.4991	1000	transposable_element_gene	30000	30329471	838	2.79	1697572	5.60	0.4991	0	0	0	
0	0.4334	1000	transposon_fragment	30000	30329471	2118	7.06	4940259	16.29	0.4334	0	0	0	
1	1.0529	1000	CDS	30000	30329471	7897	26.32	8868437	29.24	0.9002	0	0	1	*****
1	0.9543	1000	DNA_replication_origin	30000	30329471	2000	6.67	1058390	3.49	1.9104	1	0	0	*****
1	1.4364	1000	DNAseI_hypersensitive_site	30000	30329471	2835	9.45	3974491	13.10	0.7211	0	0	1	*****
1	1.0002	1000	exon	30000	30329471	11133	37.11	12593750	41.52	0.8937	0	0	1	*****
1	1.7759	1000	five_prime_UTR	30000	30329471	672	2.24	848455	2.80	0.8007	0	0	1	*****
1	1.0242	1000	gene	30000	30329471	14421	48.07	15989348	52.72	0.9118	0	0	1	*****
1	0.9807	1000	mRNA	30000	30329471	15877	52.92	17562548	57.91	0.9140	0	0	1	
1	0.0000	1000	miRNA	30000	30329471	0	0.00	9336	0.03	0.0000	0	1	0	
1	0.0000	1000	ncRNA	30000	30329471	0	0.00	183696	0.61	0.0000	0	1	0	
1	1.2696	1000	open_chromatin_state_1	30000	30329471	2479	8.26	3445121	11.36	0.7275	0	0	1	*****
1	1.6674	1000	open_chromatin_state_2	30000	30329471	2088	6.96	3092226	10.20	0.6827	0	0	1	*****
1	0.8545	1000	open_chromatin_state_3	30000	30329471	1148	3.83	3119002	10.28	0.3721	0	0	1	
1	0.7135	1000	open_chromatin_state_4	30000	30329471	4111	13.70	4761839	15.70	0.8728	1	0	0	*****
1	1.7146	1000	open_chromatin_state_5	30000	30329471	3394	11.31	4415006	14.56	0.7772	0	0	1	*****
1	0.4890	1000	open_chromatin_state_6	30000	30329471	6278	20.93	3301072	10.88	1.9227	1	0	0	*****
1	0.8223	1000	open_chromatin_state_7	30000	30329471	3360	11.20	3124590	10.30	1.0872	1	0	0	*****
1	0.6663	1000	open_chromatin_state_8	30000	30329471	3142	10.47	2397308	7.90	1.3250	1	0	0	*****
